"Name action", "Timestamp action"
"Get all applications from csv","2020-04-21T11:17:58.582212800"
"Get a specialization by name","2020-04-21T11:17:58.582212800"
"Get all faculties from csv","2020-04-21T11:17:58.582212800"
"Get all specializations from csv","2020-04-21T11:17:58.590237400"
"Get a specialization by name","2020-04-21T11:18:06.624787200"
"Get all candidates from csv","2020-04-21T11:18:54.730369700"
"Get all applications from csv","2020-04-21T11:18:54.761612300"
"Get a specialization by name","2020-04-21T11:18:54.761612300"
"Get all faculties from csv","2020-04-21T11:18:54.761612300"
"Get all specializations from csv","2020-04-21T11:18:54.761612300"
"Get all candidates from csv","2020-04-21T11:19:40.881859"
"Get all applications from csv","2020-04-21T11:19:40.913101900"
"Get a specialization by name","2020-04-21T11:19:40.913101900"
"Get all faculties from csv","2020-04-21T11:19:40.913101900"
"Get all specializations from csv","2020-04-21T11:19:40.913101900"
"Get all candidates from csv","2020-04-21T11:22:00.739077200"
"Get all applications from csv","2020-04-21T11:22:00.776826800"
"Get a specialization by name","2020-04-21T11:22:00.776826800"
"Get all faculties from csv","2020-04-21T11:22:00.776826800"
"Get all specializations from csv","2020-04-21T11:22:00.776826800"
"Get all candidates from csv","2020-04-21T11:25:45.019071700"
"Get all applications from csv","2020-04-21T11:25:45.053302600"
"Get a specialization by name","2020-04-21T11:25:45.054299700"
"Get all faculties from csv","2020-04-21T11:25:45.055296900"
"Get all specializations from csv","2020-04-21T11:25:45.059285900"
"Get all candidates from csv","2020-04-21T11:28:49.219493100"
"Get all applications from csv","2020-04-21T11:28:49.243826500"
"Get a specialization by name","2020-04-21T11:28:49.244824800"
"Get all faculties from csv","2020-04-21T11:28:49.245822400"
"Get all specializations from csv","2020-04-21T11:28:49.249811700"
"Get all candidates from csv","2020-04-21T11:29:23.432333700"
"Get all applications from csv","2020-04-21T11:29:23.468237700"
"Get a specialization by name","2020-04-21T11:29:23.469235700"
"Get all faculties from csv","2020-04-21T11:29:23.471230400"
"Get all specializations from csv","2020-04-21T11:29:23.476217400"
"Get all specilizations:","2020-04-21T11:29:42.937569500"
"Get all the applications","2020-04-21T11:29:56.202105400"
"Get all candidates from csv","2020-04-21T11:31:22.958637600"
"Get all applications from csv","2020-04-21T11:31:22.982956300"
"Get a candidate by CNP","2020-04-21T11:31:22.984952100"
"Get all faculties from csv","2020-04-21T11:31:22.985948900"
"Get all specializations from csv","2020-04-21T11:31:22.990934600"
"Get all candidates from csv","2020-04-21T11:33:14.307428500"
"Get all applications from csv","2020-04-21T11:33:14.332757600"
"Get a specialization by name","2020-04-21T11:33:14.337744"
"Get all faculties from csv","2020-04-21T11:33:14.339739600"
"Get all specializations from csv","2020-04-21T11:33:14.341736400"
"Get all faculties from csv","2020-04-21T11:34:21.051153300"
"Get all specializations from csv","2020-04-21T11:34:21.086060900"
"Get all candidates from csv","2020-04-21T11:34:21.087057700"
"Get all applications from csv","2020-04-21T11:34:21.090048400"
"Get a specialization by name","2020-04-21T11:34:21.092044100"
"Get a candidate by CNP","2020-04-21T11:34:21.092044100"
"Find a faculty by name","2020-04-21T11:34:21.093041600"
"Get all the applications","2020-04-21T11:34:32.179902700"
"Get all faculties from csv","2020-04-21T11:40:26.768522100"
"Get all specializations from csv","2020-04-21T11:40:26.808414800"
"Get all candidates from csv","2020-04-21T11:40:26.810409200"
"Get all applications from csv","2020-04-21T11:40:26.814397800"
"Get a specialization by name","2020-04-21T11:40:26.817390800"
"Get a candidate by CNP","2020-04-21T11:40:26.818389700"
"Find a faculty by name","2020-04-21T11:40:26.818389700"
"Find a faculty by name","2020-04-21T11:40:42.906597"
"Get all faculties from csv","2020-04-21T11:42:47.729062"
"Get all specializations from csv","2020-04-21T11:42:47.785855500"
"Get all candidates from csv","2020-04-21T11:42:47.786852900"
"Get all applications from csv","2020-04-21T11:42:47.792838400"
"Get a specialization by name","2020-04-21T11:42:47.796826900"
"Get a candidate by CNP","2020-04-21T11:42:47.796826900"
"Find a faculty by name","2020-04-21T11:42:47.796826900"
"Get all the applications","2020-04-21T11:42:59.819748700"
"Load all faculties from csv","2020-04-21T11:58:41.008273500"
"Load all specializations from csv","2020-04-21T11:58:41.039510300"
"Load all candidates from csv","2020-04-21T11:58:41.039510300"
"Load all applications from csv","2020-04-21T11:58:41.055131200"
"Get a specialization by name","2020-04-21T11:58:41.055131200"
"Get a candidate by CNP","2020-04-21T11:58:41.055131200"
"Find a faculty by name","2020-04-21T11:58:41.055131200"
"Get all candidates","2020-04-21T11:58:50.797638700"
"Load all faculties from csv","2020-04-21T12:05:35.014837300"
"Load all specializations from csv","2020-04-21T12:05:35.036965200"
"Load all candidates from csv","2020-04-21T12:05:35.036965200"
"Load all applications from csv","2020-04-21T12:05:35.052593600"
"Get all the applications","2020-04-21T12:05:48.273094900"
"Load all faculties from csv","2020-04-21T12:08:06.138111700"
"Load all specializations from csv","2020-04-21T12:08:06.184976700"
"Load all candidates from csv","2020-04-21T12:08:06.184976700"
"Load all applications from csv","2020-04-21T12:08:06.191484800"
"Get applications by faculty name","2020-04-21T12:08:22.126914800"
"Load all faculties from csv","2020-04-21T12:08:37.317870900"
"Load all specializations from csv","2020-04-21T12:08:37.343802400"
"Load all candidates from csv","2020-04-21T12:08:37.345795300"
"Load all applications from csv","2020-04-21T12:08:37.350781700"
"Get all the applications","2020-04-21T12:08:41.299180500"
"Load all faculties from csv","2020-04-21T12:09:31.197267300"
"Load all specializations from csv","2020-04-21T12:09:31.212888400"
"Load all candidates from csv","2020-04-21T12:09:31.212888400"
"Load all applications from csv","2020-04-21T12:09:31.228509900"
"Load all faculties from csv","2020-04-21T12:10:08.890563800"
"Load all specializations from csv","2020-04-21T12:10:08.923811600"
"Load all candidates from csv","2020-04-21T12:10:08.923811600"
"Load all applications from csv","2020-04-21T12:10:08.923811600"
"Reload the applications in csv","2020-04-21T12:10:08.923811600"
"Load all faculties from csv","2020-04-21T12:12:35.353262800"
"Load all specializations from csv","2020-04-21T12:12:35.394176300"
"Load all candidates from csv","2020-04-21T12:12:35.396171500"
"Load all applications from csv","2020-04-21T12:12:35.403151900"
"Get a specialization by name","2020-04-21T12:12:35.404149100"
"Get a candidate by CNP","2020-04-21T12:12:35.405146200"
"Find a faculty by name","2020-04-21T12:12:35.405146200"
"Get all the applications","2020-04-21T12:12:42.245106500"
"Load all faculties from csv","2020-04-21T12:13:53.876190600"
"Load all specializations from csv","2020-04-21T12:13:53.930046300"
"Load all candidates from csv","2020-04-21T12:13:53.938024100"
"Load all applications from csv","2020-04-21T12:13:53.942013100"
"Get a specialization by name","2020-04-21T12:13:53.946002900"
"Get a candidate by CNP","2020-04-21T12:13:53.946002900"
"Find a faculty by name","2020-04-21T12:13:53.947000100"
"Get all the applications","2020-04-21T12:13:58.108157400"
"Load all faculties from csv","2020-04-21T12:14:28.430360700"
"Load all specializations from csv","2020-04-21T12:14:28.455288100"
"Load all candidates from csv","2020-04-21T12:14:28.456284900"
"Load all applications from csv","2020-04-21T12:14:28.460274200"
"Get a specialization by name","2020-04-21T12:14:28.464264800"
"Get a candidate by CNP","2020-04-21T12:14:28.465261400"
"Find a faculty by name","2020-04-21T12:14:28.465261400"
"Get all the applications","2020-04-21T12:14:36.694167900"
"Load all faculties from csv","2020-04-21T12:18:10.393633200"
